,mean,std
vl_faturamento_estimado_aux,0.13434862438422718,0.02409263040930879
de_faixa_faturamento_estimado,0.12150809364743774,0.023732089004687814
vl_faturamento_estimado_grupo_aux,0.10995054461892963,0.016663471598289663
de_faixa_faturamento_estimado_grupo,0.10932043930510055,0.018827838529781205
fl_veiculo,0.05440990091101635,0.013230370342090238
dt_situacao,0.04846854798676461,0.012114321866777134
idade_emp_cat,0.04597257519784961,0.009776443826730616
idade_empresa_anos,0.04555392277422051,0.008716222650566739
vl_total_veiculos_leves_grupo,0.041236400443029335,0.012326956794227652
['de_natureza_juridica']_EMPRESARIO INDIVIDUAL,0.036682480049482685,0.009012794378391094
de_nivel_atividade,0.029476301204965565,0.007687427360137872
fl_optante_simples,0.025338799021474626,0.005059329751844248
vl_total_veiculos_pesados_grupo,0.018778080398652898,0.004871144761120299
qt_filiais,0.012303257368133645,0.0037979920926558375
fl_mei,0.0116103117938097,0.002969551222644172
['natureza_juridica_macro']_OUTROS,0.011264957239162593,0.0037771828032311773
['nm_segmento']_ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,0.00937356686742117,0.002670282659629314
nu_meses_rescencia,0.008604110188324464,0.0025017544794125298
['natureza_juridica_macro']_ENTIDADES EMPRESARIAIS,0.0081752952787113,0.0029879146317143817
['nm_divisao']_COMERCIO VAREJISTA,0.00792934517093771,0.002889346475411733
