id,fl_matriz,de_natureza_juridica,sg_uf,natureza_juridica_macro,de_ramo,setor,idade_empresa_anos,idade_emp_cat,fl_me,fl_sa,fl_epp,fl_mei,fl_ltda,dt_situacao,fl_st_especial,fl_email,fl_telefone,fl_rm,nm_divisao,nm_segmento,fl_spa,fl_antt,fl_veiculo,vl_total_tancagem,vl_total_veiculos_antt,vl_total_veiculos_leves,vl_total_veiculos_pesados,fl_optante_simples,qt_art,vl_total_veiculos_pesados_grupo,vl_total_veiculos_leves_grupo,vl_total_tancagem_grupo,vl_total_veiculos_antt_grupo,vl_potenc_cons_oleo_gas,fl_optante_simei,sg_uf_matriz,de_saude_tributaria,de_saude_rescencia,nu_meses_rescencia,de_nivel_atividade,de_indicador_telefone,fl_simples_irregular,vl_frota,empsetorcensitariofaixarendapopulacao,nm_meso_regiao,nm_micro_regiao,fl_passivel_iss,qt_socios,qt_socios_pf,qt_socios_pj,idade_media_socios,idade_maxima_socios,idade_minima_socios,qt_socios_st_regular,qt_socios_st_suspensa,qt_socios_masculino,qt_socios_feminino,qt_socios_pep,qt_alteracao_socio_total,qt_alteracao_socio_90d,qt_alteracao_socio_180d,qt_alteracao_socio_365d,qt_socios_pj_ativos,qt_socios_pj_nulos,qt_socios_pj_baixados,qt_socios_pj_suspensos,qt_socios_pj_inaptos,vl_idade_media_socios_pj,vl_idade_maxima_socios_pj,vl_idade_minima_socios_pj,qt_coligados,qt_socios_coligados,qt_coligados_matriz,qt_coligados_ativo,qt_coligados_baixada,qt_coligados_inapta,qt_coligados_suspensa,qt_coligados_nula,idade_media_coligadas,idade_maxima_coligadas,idade_minima_coligadas,coligada_mais_nova_ativa,coligada_mais_antiga_ativa,idade_media_coligadas_ativas,coligada_mais_nova_baixada,coligada_mais_antiga_baixada,idade_media_coligadas_baixadas,qt_coligados_sa,qt_coligados_me,qt_coligados_mei,qt_coligados_ltda,qt_coligados_epp,qt_coligados_norte,qt_coligados_sul,qt_coligados_nordeste,qt_coligados_centro,qt_coligados_sudeste,qt_coligados_exterior,qt_ufs_coligados,qt_regioes_coligados,qt_ramos_coligados,qt_coligados_industria,qt_coligados_agropecuaria,qt_coligados_comercio,qt_coligados_serviço,qt_coligados_ccivil,qt_funcionarios_coligados,qt_funcionarios_coligados_gp,media_funcionarios_coligados_gp,max_funcionarios_coligados_gp,min_funcionarios_coligados_gp,vl_folha_coligados,media_vl_folha_coligados,max_vl_folha_coligados,min_vl_folha_coligados,vl_folha_coligados_gp,media_vl_folha_coligados_gp,max_vl_folha_coligados_gp,min_vl_folha_coligados_gp,faturamento_est_coligados,media_faturamento_est_coligados,max_faturamento_est_coligados,min_faturamento_est_coligados,faturamento_est_coligados_gp,media_faturamento_est_coligados_gp,max_faturamento_est_coligados_gp,min_faturamento_est_coligados_gp,total_filiais_coligados,media_filiais_coligados,max_filiais_coligados,min_filiais_coligados,qt_coligados_atividade_alto,qt_coligados_atividade_medio,qt_coligados_atividade_baixo,qt_coligados_atividade_mt_baixo,qt_coligados_atividade_inativo,qt_coligadas,sum_faturamento_estimado_coligadas,de_faixa_faturamento_estimado,de_faixa_faturamento_estimado_grupo,vl_faturamento_estimado_aux,vl_faturamento_estimado_grupo_aux,qt_ex_funcionarios,qt_funcionarios_grupo,percent_func_genero_masc,percent_func_genero_fem,idade_ate_18,idade_de_19_a_23,idade_de_24_a_28,idade_de_29_a_33,idade_de_34_a_38,idade_de_39_a_43,idade_de_44_a_48,idade_de_49_a_53,idade_de_54_a_58,idade_acima_de_58,grau_instrucao_macro_analfabeto,grau_instrucao_macro_escolaridade_fundamental,grau_instrucao_macro_escolaridade_media,grau_instrucao_macro_escolaridade_superior,grau_instrucao_macro_desconhecido,total,meses_ultima_contratacaco,qt_admitidos_12meses,qt_desligados_12meses,qt_desligados,qt_admitidos,media_meses_servicos_all,max_meses_servicos_all,min_meses_servicos_all,media_meses_servicos,max_meses_servicos,min_meses_servicos,qt_funcionarios,qt_funcionarios_12meses,qt_funcionarios_24meses,tx_crescimento_12meses,tx_crescimento_24meses,tx_rotatividade,qt_filiais,id_num,cliente,pred_1,pred_2,pred_3,predict_sum,dist_centroid,dist_centroid_norm
ff0a43deba3b180ff20408b0045f51074fd2bd8f8e5cefc3860acdd848515f6f,True,EMPRESARIO INDIVIDUAL,PI,OUTROS,COMERCIO VAREJISTA,COMERCIO,5.767123287671232,5 a 10,False,False,False,False,False,2013-01-22,False,False,True,NAO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,False,False,False,,,,,True,,0.0,0.0,,,,False,PI,AZUL,ACIMA DE 1 ANO,22.0,MEDIA,,False,,603.82,NORTE PIAUIENSE,LITORAL PIAUIENSE,False,1.0,1.0,0.0,24.0,24.0,24.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 360.000,01 A R$ 1.500.000,00","DE R$ 360.000,01 A R$ 1.500.000,00",370915.2,370915.2,2.0,2.0,100.0,0.0,,,1.0,,1.0,,,,,,,2.0,,,,2.0,15.8,0.0,1.0,2.0,5.0,29.606666666666666,45.46666666666667,0.7,34.93333333333334,45.46666666666667,29.3,3.0,4.0,4.0,-25.0,-25.0,28.57142857142857,0,132488,0,1,0,1,2,1.0106089222884347,0.38456675357295833
eaada63d42cfb09d37f09dada7c6ffe7906b6d15eb3b4cc57141a06c3654d7e9,True,EMPRESARIO INDIVIDUAL,PI,OUTROS,COMERCIO VAREJISTA,COMERCIO,6.241095890410959,5 a 10,False,False,False,False,False,2012-08-02,False,False,True,NAO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,False,False,False,,,,,True,,0.0,0.0,,,,False,PI,AZUL,ACIMA DE 1 ANO,22.0,MEDIA,,False,,1299.9,NORTE PIAUIENSE,LITORAL PIAUIENSE,False,1.0,1.0,0.0,40.0,40.0,40.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 360.000,01 A R$ 1.500.000,00","DE R$ 360.000,01 A R$ 1.500.000,00",370915.2,370915.2,4.0,4.0,25.0,75.0,,,1.0,1.0,2.0,,,,,,,,3.0,1.0,,4.0,21.133333333333333,0.0,2.0,4.0,8.0,24.8,33.46666666666667,7.066666666666666,28.55,29.3,28.3,4.0,6.0,7.0,-33.333333333333336,-42.85714285714286,40.0,0,344533,0,1,1,1,3,1.0237673591231287,0.38957393016126163
c34cf6b8d5f89969113758988b5edffa518bab1fae17a9443a2f6a9067a6578a,True,EMPRESARIO INDIVIDUAL,PI,OUTROS,COMERCIO VAREJISTA,COMERCIO,5.380821917808219,5 a 10,False,False,False,False,False,2013-06-12,False,False,True,NAO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,False,False,False,,,,,True,,0.0,0.0,,,,False,PI,AZUL,ACIMA DE 1 ANO,22.0,BAIXA,,False,,696.93,NORTE PIAUIENSE,LITORAL PIAUIENSE,False,1.0,1.0,0.0,29.0,29.0,29.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 81.000,01 A R$ 360.000,00","DE R$ 81.000,01 A R$ 360.000,00",210000.0,210000.0,11.0,0.0,,,,,,,,,,,,,,,,,,,41.5,0.0,0.0,11.0,11.0,23.06363636363637,29.466666666666665,10.066666666666666,,,,0.0,0.0,8.0,,-100.0,0.0,0,296299,0,1,1,1,3,1.040722032699019,0.3960256877414391
9215ea53482c8b784462a7aa1567310408bc705baf54ed7ea50f0c841e34e607,True,EMPRESARIO INDIVIDUAL,MA,OUTROS,COMERCIO VAREJISTA,COMERCIO,15.123287671232875,15 a 20,False,False,False,False,False,2005-11-03,False,False,True,NAO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,False,False,False,,,,,True,,0.0,0.0,,,,False,MA,LARANJA,ACIMA DE 1 ANO,22.0,BAIXA,,False,,608.15,LESTE MARANHENSE,CODO,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 360.000,01 A R$ 1.500.000,00","DE R$ 360.000,01 A R$ 1.500.000,00",618192.0,618192.0,6.0,6.0,0.0,100.0,,,,1.0,2.0,2.0,1.0,,,,,,6.0,,,6.0,61.76666666666666,0.0,0.0,6.0,12.0,73.58055555555556,173.33333333333337,22.3,107.75555555555556,173.33333333333337,61.76666666666666,6.0,6.0,8.0,0.0,-25.0,0.0,0,386446,0,1,0,1,2,1.0475515977122263,0.39862454036139944
637deaa484839f6b9f5e46bcbafc3ccae93cf4f7b3c8597d9e81c11e7d170cf1,True,EMPRESARIO INDIVIDUAL,PI,OUTROS,COMERCIO VAREJISTA,COMERCIO,6.96986301369863,5 a 10,False,False,False,False,False,2011-11-10,False,False,True,NAO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,False,False,False,,,,,True,,0.0,0.0,,,,False,PI,AZUL,ACIMA DE 1 ANO,23.0,MEDIA,,False,,571.43,CENTRO NORTE PIAUIENSE,CAMPO MAIOR,False,1.0,1.0,0.0,29.0,29.0,29.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 360.000,01 A R$ 1.500.000,00","DE R$ 360.000,01 A R$ 1.500.000,00",556372.8,556372.8,5.0,3.0,100.0,0.0,,,1.0,1.0,,,1.0,,,,,,2.0,1.0,,3.0,3.933333333333333,1.0,0.0,5.0,8.0,18.229166666666668,41.5,3.933333333333333,26.600000000000005,41.5,3.933333333333333,3.0,2.0,3.0,50.0,0.0,0.0,0,133328,0,1,0,1,2,1.0523798569084712,0.4004618365929666
448c1548960af118fa722a1b22eb4046c6658b4741bf3056aa60a22a805cce7d,True,EMPRESARIO INDIVIDUAL,MA,OUTROS,COMERCIO VAREJISTA,COMERCIO,7.082191780821918,5 a 10,False,False,False,False,False,2011-09-30,False,False,True,NAO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,False,False,False,,,,,True,,0.0,0.0,,,,False,MA,AZUL,ACIMA DE 1 ANO,23.0,MEDIA,,False,,979.58,OESTE MARANHENSE,PINDARE,False,1.0,1.0,0.0,38.0,38.0,38.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 360.000,01 A R$ 1.500.000,00","DE R$ 360.000,01 A R$ 1.500.000,00",370915.2,370915.2,0.0,2.0,50.0,50.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,2.0,19.1,0.0,0.0,0.0,2.0,44.0,68.9,19.1,44.0,68.9,19.1,2.0,2.0,1.0,0.0,100.0,0.0,0,42053,0,1,1,0,2,1.0540135874226035,0.40108351964580397
3e95ee4c9b74c83defbd9e9dcdf65ab9c29a4297404fb9480349ac2fb034b7eb,True,EMPRESARIO INDIVIDUAL,MA,OUTROS,COMERCIO VAREJISTA,COMERCIO,8.263013698630138,5 a 10,False,False,False,False,False,2010-07-26,False,False,True,NAO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,False,False,False,,,,,True,,0.0,0.0,,,,False,MA,LARANJA,ACIMA DE 1 ANO,25.0,BAIXA,,False,,,LESTE MARANHENSE,CODO,False,1.0,1.0,0.0,34.0,34.0,34.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 81.000,01 A R$ 360.000,00","DE R$ 81.000,01 A R$ 360.000,00",210000.0,210000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,321488,0,1,1,1,3,1.0547670812287462,0.40137024645028285
9e887467c0ca1729d73d6ee9ea671f6f1e85b3e436e706aa601d77c740fccfc6,True,EMPRESARIO INDIVIDUAL,MA,OUTROS,COMERCIO VAREJISTA,COMERCIO,5.035616438356166,5 a 10,False,False,False,False,False,2013-10-16,False,False,True,NAO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,False,False,False,,,,,True,,0.0,0.0,,,,False,MA,AZUL,ACIMA DE 1 ANO,22.0,BAIXA,,False,,799.85,LESTE MARANHENSE,CHAPADINHA,False,1.0,1.0,0.0,23.0,23.0,23.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 81.000,01 A R$ 360.000,00","DE R$ 81.000,01 A R$ 360.000,00",210000.0,210000.0,1.0,0.0,,,,,,,,,,,,,,,,,,,52.66666666666666,0.0,0.0,1.0,1.0,5.1,5.1,5.1,,,,0.0,0.0,0.0,,,0.0,0,461001,0,1,1,1,3,1.05552952199922,0.40166037784080016
e5f74457a5b5b9aa7fe1af93ada8b398922a40e452a9ea24f250f822a434bb57,True,EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA,MA,OUTROS,COMERCIO VAREJISTA,COMERCIO,7.4520547945205475,5 a 10,False,False,False,False,False,2011-05-18,False,False,True,SIM,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,False,False,False,,,,,True,,0.0,0.0,,,,False,MA,AZUL,ACIMA DE 1 ANO,23.0,BAIXA,,False,,1694.3,OESTE MARANHENSE,IMPERATRIZ,False,1.0,1.0,0.0,29.0,29.0,29.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 360.000,01 A R$ 1.500.000,00","DE R$ 360.000,01 A R$ 1.500.000,00",930000.0,930000.0,7.0,0.0,,,,,,,,,,,,,,,,,,,69.83333333333333,0.0,0.0,7.0,7.0,16.609523809523807,48.66666666666666,6.033333333333332,,,,0.0,0.0,1.0,,-100.0,0.0,0,291492,0,1,1,1,3,1.0612734009767864,0.40384609463253085
ba93c2fe6efe3adb3a1e15cfed6d21bfe73b2a361a3f9452e4fe4e1c44bf6f5f,True,EMPRESARIO INDIVIDUAL,MA,OUTROS,COMERCIO VAREJISTA,COMERCIO,7.873972602739726,5 a 10,False,False,False,False,False,2010-12-15,False,True,True,NAO,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,False,False,False,,,,,True,,0.0,0.0,,,,False,MA,AZUL,ACIMA DE 1 ANO,23.0,MEDIA,,False,,828.5,LESTE MARANHENSE,CODO,False,1.0,1.0,0.0,35.0,35.0,35.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 360.000,01 A R$ 1.500.000,00","DE R$ 360.000,01 A R$ 1.500.000,00",370915.2,370915.2,0.0,2.0,50.0,50.0,,,,1.0,1.0,,,,,,,,2.0,,,2.0,40.5,0.0,0.0,0.0,2.0,57.68333333333333,74.86666666666666,40.5,57.68333333333333,74.86666666666666,40.5,2.0,2.0,2.0,0.0,0.0,0.0,0,36419,0,1,0,1,2,1.0621280200734773,0.40417130261784295
