id,rank_01,rank_02,rank_03,rank_mean,rank_std
8a39891dd70cf06653cc20a7bd5926e6cda147943a12d20b0e9dc9eab808afc2,96.0,4080.0,34.0,1403.333,1892.858
6d5e7c0b8ae625dea6c700859223ae44cd967261887862af0507817482c27063,174.0,4080.0,22.0,1425.333,1878.158
9893ca533adcb579e97062462cf53d7a0255f91a86a7ca23fd1d9673b73f7199,1784.0,1.0,2614.0,1466.333,1090.146
51ca1a80bed69529d21c476b672448d4d45f02a3368b9b59c9213b53227a60a9,36.0,4080.0,305.0,1473.667,1846.225
917a563e9c2b2c21e9535de9c8746d7865aba2a2eb816649a4adcb332f5d0f8e,1880.0,1.0,2614.0,1498.333,1100.362
df66c596099187930b7b5a936c604eafec4f159b0bcfa3aa4656d9e066713f56,105.0,4080.0,464.0,1549.667,1795.208
194ccd189f35fe0b71b0fb999ea814405deff26266653ef827cb6f601751d02b,315.0,4080.0,305.0,1566.667,1777.2
13ff83608bf7b9d9ee3c78bafc32f07afb6ad57e2b461bd9cbc98d1e0248ef3d,556.0,4080.0,87.0,1574.333,1782.089
5bb083c383a7933726cab916ee507eb179b5ac0859242462d57de15af938cedc,489.0,4080.0,305.0,1624.667,1737.807
a9c8103a019639367626fb290275b6e623d191456b76c86eaf47f3519b455d81,779.0,4080.0,87.0,1648.667,1742.269
6ea15f5491163ffb0bbe2d6c96ae33b0d9bdd997d565bc281f1eb976a541272c,1476.0,4080.0,305.0,1953.667,1577.716
be8c995d1935837044dd6d10f0109881fe3d2a8ae8e06958c9b59c2248b3a06c,1907.0,4080.0,203.0,2063.333,1586.634
73e318f7bfc095c6d67f0c2f5faf09e4a4c2bd7774223a36c34a6751c5b6e0b5,596.0,4080.0,1531.0,2069.0,1472.333
12115620358bf6be92221079a05b581bf1b1cb8c699e20db6a76621c04944a67,986.0,4080.0,1156.0,2074.0,1420.153
9a6283ce8a06b24193267011b4b42a662bcce41a748a700ca9f4b7a10eaf2ae3,668.0,4080.0,1531.0,2093.0,1448.521
9d4420b559263e1bd591be1762e1e97495e5588c182e4825441174f464514418,3677.0,1.0,2614.0,2097.333,1544.55
12b037b92740656095c85fac01416d7842784f2f63313a3fa815a03dc0c2c017,1012.0,4080.0,1531.0,2207.667,1340.787
84fb66537b1d2d8715d217e46c09204ae8be435a809d29bbb74500fc501c947e,2404.0,4080.0,234.0,2239.333,1574.434
62add652871b2d119051f41674bb652b6a7bfe2c998f25614675f7f5e6400844,2481.0,4080.0,167.0,2242.667,1606.34
b80aa02ac58a5aae8f49e6d72a09174f2c95e533d0dbec86918d92e2417dd34e,121.0,4080.0,2614.0,2271.667,1634.282
434c4bd5fd0ed1e4b7b5d0f99f906040a028bd8bed056de36f64681b28889d53,1240.0,4080.0,1531.0,2283.667,1275.743
a4bd62941cea6ce7568b0d318c24ef646d4db1e47ed862fbc99c8311a494e9f6,2616.0,4080.0,177.0,2291.0,1609.88
bb24a6e70453ab44a22b15adac966149542179b3ae1d39ec3e8a96fe91bb15a6,218.0,4080.0,2614.0,2304.0,1591.82
d96f9b175c8835561c32a6d204f05bc872804c6d9e837e920de91108d9402289,6635.0,1.0,493.0,2376.333,3018.023
fc557f31e46c8bd38b95bf91c98b9f999a36773cdcc27a2b5fc26b5558ac04d9,839.0,4080.0,2614.0,2511.0,1325.136
e7c23ca3befad7fcc38b0c784f200a8a6f41589f87deff1e0d9f7971d04fc46e,876.0,4080.0,2614.0,2523.333,1309.598
147c9a9d4e605aff88f38a243bd205746a71aebae5ceb4f41406e58ab1bd83e0,7091.0,1.0,599.0,2563.667,3210.603
8a80707ca45534a5a5299f1d389a172a74875abade83fd781c072e5cbe2ab3e9,1031.0,4080.0,2614.0,2575.0,1245.054
8e4d23058fbeb0159b8542dd42b690fc60229fc9a44078561b1c6c9b375dcd0a,1484.0,1.0,6274.0,2586.333,2676.937
6633f429b0e3834a1d9c13f70184309c2dd90a4efef4f85cba0a6b2f42cc4c7e,1155.0,4080.0,2614.0,2616.333,1194.127
8e2ea152d4897de1ef73b6894d114dbd4ffff7292262d5e07760c9b4d6031d4c,1234.0,4080.0,2614.0,2642.667,1162.051
61f9ff2fcadf1459068e655e725f9b474e3dd1d1649ece2c774cb8a56433e8f8,2330.0,4080.0,1531.0,2647.0,1064.493
937f04e6712351e6faad3ec113394ef9191f42c85f7be3844fade626d4b97a47,1764.0,1.0,6274.0,2679.667,2641.523
937ab4de2940f91251de0bb72d8cc8ea5597a9523bae68e7de5d82887dd61ed3,5426.0,1.0,2614.0,2680.333,2215.244
a9643b9c85c979f78d37da898310a420b37ac1a1e398488abc415a618c0ea7bd,1427.0,4080.0,2614.0,2707.0,1085.077
41ec1a897e27dde5fe48e2570931e4da56846b06793fea53e9cca94c37c35e2c,1491.0,4080.0,2614.0,2728.333,1060.042
1ef89e1ef0dcfa8c2e1526085484048f206942a0539e62c311189d62a6e8bdf4,2645.0,4080.0,1531.0,2752.0,1043.372
6ba8b0217ac29c43a39aa1040160f7ca5204e623c4c2a0689b9a895f07e0c657,1613.0,4080.0,2614.0,2769.0,1013.095
9d2e961ed444f2d64e895370dc2caf0e3dc8ed23d1d040c1d19f45d1be015331,1624.0,4080.0,2614.0,2772.667,1008.915
433d70f003145c0e60722930006a456fa77babf11a72fab6d14c8ad4024019db,2057.0,1.0,6274.0,2777.333,2611.104
e103ee0d28ec15bb6ed4288e46c6bfac26e4733c5a338b83e526a66b73304de0,1680.0,4080.0,2614.0,2791.333,987.787
